gene_id	gene_short_name	locus	FPKM	TPM	ln(TPM)
CV702_RS04970	-	NZ_CP024954.1:1023793-1024699	30.7827	15.07722359	2.713185233
CV702_RS10210	-	NZ_CP024954.1:2125476-2128473	30.8171	15.09407255	2.71430212
CV702_RS06310	-	NZ_CP024954.1:1336481-1337102	30.9115	15.14030923	2.717360672
CV702_RS06710	-	NZ_CP024954.1:1420624-1422052	30.9287	15.14873371	2.717916945
CV702_RS08250	-	NZ_CP024954.1:1735791-1736046	30.9827	15.17518266	2.719661374
CV702_RS01415	phnC	NZ_CP024954.1:274950-275691	31.2091	15.28607233	2.726942108
CV702_RS05840	-	NZ_CP024954.1:1226361-1227711	31.4054	15.38221916	2.733212242
CV702_RS05455	-	NZ_CP024954.1:1123922-1124894	31.5299	15.44319868	2.737168691
CV702_RS08325	-	NZ_CP024954.1:1754291-1755233	31.557	15.45647213	2.738027824
CV702_RS08285	uxaC	NZ_CP024954.1:1743750-1745169	31.7413	15.54674142	2.743851061
CV702_RS12040	-	NZ_CP024954.1:218189-218390	31.7621	15.55692916	2.744506144
CV702_RS11340	-	NZ_CP024954.1:2343298-2343538	31.7624	15.5570761	2.74451559
CV702_RS08095	arsC	NZ_CP024954.1:1706481-1706886	31.7649	15.55830059	2.744594296
CV702_RS00490	-	NZ_CP024954.1:94113-95277	31.8788	15.61408828	2.748173601
CV702_RS04955	-	NZ_CP024954.1:1021757-1022129	31.9734	15.66042292	2.751136697
CV702_RS01430	-	NZ_CP024954.1:277333-278893	32.0774	15.71136164	2.754384122
CV702_RS05400	-	NZ_CP024954.1:1111050-1113816	32.155	15.74936976	2.756800349
CV702_RS02805	-	NZ_CP024954.1:544250-544952	32.3819	15.86050432	2.763832014
CV702_RS01630	recR	NZ_CP024954.1:318348-318945	32.5326	15.93431648	2.768475053
CV702_RS08400	yidD	NZ_CP024954.1:1769998-1770265	32.7159	16.02409597	2.774093588
CV702_RS03115	-	NZ_CP024954.1:623400-623688	32.8878	16.10829179	2.779334158
CV702_RS01735	-	NZ_CP024954.1:343588-344395	32.9507	16.13909992	2.781244894
CV702_RS05690	-	NZ_CP024954.1:1167364-1169887	33.3147	16.31738543	2.79223113
CV702_RS03735	-	NZ_CP024954.1:747372-747936	33.3609	16.34001398	2.793616945
CV702_RS03950	pnuC	NZ_CP024954.1:799322-800036	33.4457	16.38154863	2.796155618
CV702_RS06165	-	NZ_CP024954.1:1300588-1301326	33.4678	16.3923731	2.796816172
CV702_RS01590	-	NZ_CP024954.1:309749-310931	33.7832	16.54685456	2.806196027
CV702_RS10090	-	NZ_CP024954.1:2103396-2103720	33.8805	16.59451165	2.809072017
CV702_RS09440	-	NZ_CP024954.1:1991881-1993210	33.9457	16.6264463	2.810994579
CV702_RS05485	-	NZ_CP024954.1:1130951-1131923	34.1521	16.72754007	2.817056467
CV702_RS02570	lysS	NZ_CP024954.1:502132-503629	34.1968	16.74943392	2.818364462
CV702_RS09920	-	NZ_CP024954.1:2070041-2070701	34.2151	16.75839717	2.818899456
CV702_RS05870	-	NZ_CP024954.1:1238483-1240952	34.2751	16.7877849	2.820651532
CV702_RS00050	-	NZ_CP024954.1:13205-15197	34.4957	16.89583375	2.827067068
CV702_RS01070	-	NZ_CP024954.1:210890-212060	34.5522	16.92350719	2.828703613
CV702_RS06690	-	NZ_CP024954.1:1416182-1417118	34.6219	16.95764593	2.830718819
CV702_RS08465	-	NZ_CP024954.1:1788475-1789333	34.6274	16.9603398	2.830877666
CV702_RS03200	-	NZ_CP024954.1:636917-638249	34.6962	16.99403772	2.83286256
CV702_RS06510	-	NZ_CP024954.1:1378412-1378949	34.6983	16.99506629	2.832923084
CV702_RS02865	-	NZ_CP024954.1:558207-558777	35.0004	17.14303347	2.841591879
CV702_RS07030	-	NZ_CP024954.1:1479118-1479361	35.0053	17.14543347	2.841731868
CV702_RS04525	-	NZ_CP024954.1:933577-934453	35.0176	17.15145795	2.842083182
CV702_RS06730	-	NZ_CP024954.1:1424416-1425736	35.3099	17.29462513	2.850395767
CV702_RS03135	-	NZ_CP024954.1:625678-626284	35.313	17.2961435	2.850483557
CV702_RS06275	-	NZ_CP024954.1:1329660-1330338	35.5808	17.4273107	2.858038556
CV702_RS00180	-	NZ_CP024954.1:35186-35429	35.5827	17.42824131	2.858091954
CV702_RS03160	-	NZ_CP024954.1:629072-629273	36.5027	17.87885304	2.88361862
CV702_RS05675	-	NZ_CP024954.1:1164394-1164595	36.5027	17.87885304	2.88361862
CV702_RS05050	-	NZ_CP024954.1:1042506-1043157	36.6766	17.96402845	2.888371339
CV702_RS03045	-	NZ_CP024954.1:606791-607502	36.7511	18.0005182	2.890400547
CV702_RS02715	-	NZ_CP024954.1:528801-529077	36.8025	18.02569368	2.891798167
CV702_RS04705	-	NZ_CP024954.1:970991-972269	36.8625	18.05508141	2.893427164
CV702_RS00365	-	NZ_CP024954.1:70129-70597	36.8922	18.06962833	2.894232536
CV702_RS02945	-	NZ_CP024954.1:580584-583341	37.0532	18.14848538	2.898587107
CV702_RS10230	galM	NZ_CP024954.1:2132023-2133043	37.272	18.25565261	2.904474764
CV702_RS09660	-	NZ_CP024954.1:2031335-2031794	37.6263	18.4291871	2.913935663
CV702_RS05665	-	NZ_CP024954.1:1163366-1163696	37.6496	18.44059933	2.914554719
CV702_RS06890	-	NZ_CP024954.1:1459154-1460696	38.1543	18.68779905	2.927870854
CV702_RS01360	-	NZ_CP024954.1:266038-266707	38.1754	18.69813373	2.928423718
CV702_RS06855	-	NZ_CP024954.1:1451108-1452035	38.3036	18.7609255	2.931776276
CV702_RS03205	-	NZ_CP024954.1:638600-638861	38.3349	18.77625609	2.932593098
CV702_RS03185	-	NZ_CP024954.1:632827-633703	38.3509	18.78409282	2.933010385
CV702_RS11405	-	NZ_CP024954.1:2350447-2350780	38.4844	18.8494805	2.936485354
CV702_RS09295	mnmG	NZ_CP024954.1:1961848-1963726	38.758	18.98348851	2.943569575
CV702_RS04960	-	NZ_CP024954.1:1022272-1023067	39.019	19.1113251	2.950281096
CV702_RS00590	-	NZ_CP024954.1:110845-111166	39.0971	19.14957811	2.952280685
CV702_RS00800	-	NZ_CP024954.1:157890-159327	39.0971	19.14957811	2.952280685
CV702_RS01185	-	NZ_CP024954.1:231158-233081	39.1627	19.18170869	2.953957153
CV702_RS12300	-	NZ_CP024954.1:447168-448047	39.2252	19.2123209	2.955551787
CV702_RS05010	plsY	NZ_CP024954.1:1032406-1033045	39.4218	19.30861467	2.960551352
CV702_RS08390	-	NZ_CP024954.1:1765477-1768184	39.5568	19.37473704	2.963970003
CV702_RS06415	-	NZ_CP024954.1:1359724-1360270	39.6442	19.41754516	2.966177047
CV702_RS06805	-	NZ_CP024954.1:1443758-1444517	39.8124	19.49992873	2.970410811
CV702_RS05855	-	NZ_CP024954.1:1234269-1234470	39.8997	19.54268787	2.972601194
CV702_RS01035	hflX	NZ_CP024954.1:206176-207421	40.1106	19.64598571	2.977873028
CV702_RS06950	-	NZ_CP024954.1:1469581-1470355	40.359	19.76765088	2.984046808
CV702_RS06865	-	NZ_CP024954.1:1454090-1454870	40.3644	19.77029577	2.984180598
CV702_RS02620	-	NZ_CP024954.1:511675-512203	40.4884	19.8310304	2.987247903
CV702_RS08685	-	NZ_CP024954.1:1831816-1832806	40.5323	19.85253241	2.988331576
CV702_RS07885	-	NZ_CP024954.1:1666306-1667527	40.5486	19.86051608	2.988733644
CV702_RS04445	-	NZ_CP024954.1:917357-918515	40.7186	19.94378129	2.99291738
CV702_RS08030	-	NZ_CP024954.1:1696072-1696435	41.0823	20.12191986	3.001809761
CV702_RS02155	-	NZ_CP024954.1:431765-432320	41.117	20.13891576	3.002654051
CV702_RS11310	-	NZ_CP024954.1:2339369-2340065	41.1213	20.14102188	3.002758625
CV702_RS03905	sdaAA	NZ_CP024954.1:787785-788649	41.5159	20.33429513	3.012308876
CV702_RS00470	-	NZ_CP024954.1:91806-92106	41.6323	20.39130731	3.015108698
CV702_RS07065	-	NZ_CP024954.1:1483270-1484026	41.8347	20.49044189	3.019958528
CV702_RS06010	leuD	NZ_CP024954.1:1270070-1270646	42.7379	20.93282506	3.041318504
CV702_RS11065	-	NZ_CP024954.1:2291153-2292011	42.7495	20.93850668	3.041589889
CV702_RS09045	-	NZ_CP024954.1:1903483-1904392	42.8021	20.96426992	3.042819556
CV702_RS09240	-	NZ_CP024954.1:1951566-1952313	42.9722	21.04758411	3.046785784
CV702_RS05550	-	NZ_CP024954.1:1143207-1143621	43.0213	21.07163306	3.047927731
CV702_RS09430	-	NZ_CP024954.1:1989775-1990894	43.1104	21.11527383	3.049996657
CV702_RS03180	-	NZ_CP024954.1:631546-632818	43.449	21.28111854	3.057820226
CV702_RS03970	acpS	NZ_CP024954.1:805050-805410	43.4902	21.3012981	3.058768015
CV702_RS11790	-	NZ_CP024954.1:2423658-2424546	43.5907	21.35052254	3.061076214
CV702_RS11085	-	NZ_CP024954.1:2294401-2295622	43.7591	21.43300408	3.064931981
CV702_RS01075	-	NZ_CP024954.1:212129-212555	43.8168	21.46126527	3.066249695
CV702_RS01170	-	NZ_CP024954.1:227815-228562	43.846	21.47556729	3.066915884
CV702_RS07870	-	NZ_CP024954.1:1662932-1663265	43.9218	21.51269378	3.068643169
CV702_RS09165	-	NZ_CP024954.1:1937228-1937543	43.9799	21.54115089	3.069965101
CV702_RS01810	-	NZ_CP024954.1:360325-361729	44.0433	21.57220392	3.07140563
CV702_RS05095	-	NZ_CP024954.1:1050519-1051035	44.0818	21.59106104	3.072279388
CV702_RS08345	-	NZ_CP024954.1:1758065-1759049	44.1881	21.64312629	3.074687911
CV702_RS07850	secA2	NZ_CP024954.1:1657471-1659832	44.4105	21.75205677	3.079708317
CV702_RS11670	-	NZ_CP024954.1:2404278-2405298	45.0182	22.04970541	3.093299242
CV702_RS08320	-	NZ_CP024954.1:1753305-1754280	45.2372	22.1569706	3.098152147
CV702_RS08420	-	NZ_CP024954.1:1774578-1775553	45.5753	22.32257041	3.105598292
CV702_RS11885	-	NZ_CP024954.1:1669398-1669722	45.6059	22.33755814	3.106269483
CV702_RS11330	-	NZ_CP024954.1:2342034-2342379	45.7389	22.40270093	3.109181529
CV702_RS04755	-	NZ_CP024954.1:981658-982378	45.7615	22.4137703	3.109675516
CV702_RS03095	-	NZ_CP024954.1:619709-620687	45.8583	22.46118249	3.111788597
CV702_RS07835	asp2	NZ_CP024954.1:1653043-1654642	46.5382	22.79419436	3.12650587
CV702_RS08190	-	NZ_CP024954.1:1721599-1721926	46.5959	22.82245555	3.127744944
CV702_RS10560	gla	NZ_CP024954.1:2201574-2202444	46.6724	22.85992489	3.129385373
CV702_RS02525	-	NZ_CP024954.1:495211-495694	47.023	23.03164715	3.136869233
CV702_RS02655	serC	NZ_CP024954.1:517720-518818	47.0892	23.0640716	3.138276065
CV702_RS03145	-	NZ_CP024954.1:626881-627079	47.1767	23.10692869	3.140132516
CV702_RS06720	-	NZ_CP024954.1:1422595-1423423	47.2012	23.11892868	3.140651705
CV702_RS06495	-	NZ_CP024954.1:1376269-1377091	47.4022	23.21737755	3.144901031
CV702_RS06725	-	NZ_CP024954.1:1423431-1424325	47.5767	23.30284684	3.148575535
CV702_RS03825	-	NZ_CP024954.1:767774-768536	47.6285	23.32821824	3.149663711
CV702_RS09705	-	NZ_CP024954.1:2037228-2037444	47.7606	23.3929202	3.152433421
CV702_RS02510	-	NZ_CP024954.1:492695-493139	47.8799	23.45135279	3.154928182
CV702_RS11660	-	NZ_CP024954.1:2400892-2403586	48.3523	23.68273212	3.16474618
CV702_RS03335	lmrA	NZ_CP024954.1:669329-671084	48.607	23.807483	3.169999943
CV702_RS10220	-	NZ_CP024954.1:2129142-2130624	48.721	23.86331967	3.172342538
CV702_RS02055	-	NZ_CP024954.1:413727-415293	48.9315	23.96642159	3.17665375
CV702_RS01160	-	NZ_CP024954.1:225524-226904	49.0188	24.00918072	3.178436287
CV702_RS03345	-	NZ_CP024954.1:671784-672429	49.1435	24.07025821	3.180976979
CV702_RS08120	-	NZ_CP024954.1:1708769-1709279	49.198	24.09695205	3.182085362
CV702_RS04700	-	NZ_CP024954.1:969354-970977	49.2947	24.14431526	3.18404896
CV702_RS06740	-	NZ_CP024954.1:1426876-1427815	49.3187	24.15607035	3.184535709
CV702_RS09550	-	NZ_CP024954.1:2011980-2012331	49.5112	24.25035596	3.188431296
CV702_RS10940	-	NZ_CP024954.1:2260131-2260830	49.6913	24.3385681	3.192062257
CV702_RS06185	-	NZ_CP024954.1:1306843-1307551	49.844	24.41335985	3.195130517
CV702_RS00060	pth	NZ_CP024954.1:15995-16562	49.8713	24.42673127	3.195678076
CV702_RS02285	-	NZ_CP024954.1:456814-457096	49.9189	24.45004553	3.196632078
CV702_RS03445	-	NZ_CP024954.1:690393-691674	49.9359	24.45837205	3.196972572
CV702_RS05595	-	NZ_CP024954.1:1149821-1150319	50.1553	24.56583315	3.201356581
CV702_RS06450	-	NZ_CP024954.1:1367774-1368878	50.2672	24.62064125	3.203585166
CV702_RS00510	-	NZ_CP024954.1:98337-99534	50.3897	24.68064118	3.206019178
CV702_RS06020	ilvD	NZ_CP024954.1:1271560-1273273	50.4953	24.73236357	3.208112652
CV702_RS07220	-	NZ_CP024954.1:1513480-1514428	50.6379	24.80220839	3.210932697
CV702_RS02965	-	NZ_CP024954.1:586355-587249	50.643	24.80470635	3.211033407
CV702_RS01780	-	NZ_CP024954.1:353221-354040	50.7138	24.83938386	3.212430452
CV702_RS06440	-	NZ_CP024954.1:1365345-1365741	50.7891	24.87626545	3.213914154
CV702_RS09090	-	NZ_CP024954.1:1919598-1919859	50.8276	24.89512257	3.214671904
CV702_RS10450	dinB	NZ_CP024954.1:2171622-2172717	50.8372	24.8998246	3.214860759
CV702_RS06370	gltB	NZ_CP024954.1:1345993-1350454	51.1567	25.05631422	3.22112586
CV702_RS06030	ilvN	NZ_CP024954.1:1275003-1275480	51.185	25.07017543	3.22167891
CV702_RS06360	-	NZ_CP024954.1:1343179-1344439	51.3412	25.14668147	3.224725938
CV702_RS08460	-	NZ_CP024954.1:1787113-1788472	51.4334	25.1918406	3.226520156
CV702_RS05215	-	NZ_CP024954.1:1072089-1073265	51.481	25.21515486	3.227445197
CV702_RS01210	-	NZ_CP024954.1:236287-238123	51.659	25.30233843	3.23089682
CV702_RS12035	-	NZ_CP024954.1:201278-202199	52.0324	25.48522802	3.238098991
CV702_RS01060	rsfS	NZ_CP024954.1:209645-210005	52.0701	25.5036933	3.238823277
CV702_RS06970	-	NZ_CP024954.1:1474196-1474496	52.517	25.72258285	3.247369316
CV702_RS04615	-	NZ_CP024954.1:951177-952452	52.6125	25.7693583	3.249186123
CV702_RS08950	-	NZ_CP024954.1:1886732-1887038	52.6151	25.77063177	3.24923554
CV702_RS01805	thiI	NZ_CP024954.1:358891-360112	52.6344	25.78008482	3.249602288
CV702_RS04475	-	NZ_CP024954.1:923322-923889	52.6426	25.78410114	3.249758067
CV702_RS10555	-	NZ_CP024954.1:2200746-2201532	52.8498	25.88558674	3.253686317
CV702_RS06395	gadC	NZ_CP024954.1:1354727-1356239	52.8798	25.9002806	3.254253803
CV702_RS08840	-	NZ_CP024954.1:1863215-1863872	52.9645	25.94176627	3.255854267
CV702_RS12305	-	NZ_CP024954.1:668553-669228	53.1955	26.054909	3.260206196
CV702_RS01320	-	NZ_CP024954.1:257639-258788	53.3441	26.12769259	3.262995771
CV702_RS01690	asnB	NZ_CP024954.1:334381-335974	53.4307	26.17010887	3.264617877
CV702_RS02275	-	NZ_CP024954.1:455652-456177	53.5067	26.20733331	3.266039269
CV702_RS02410	-	NZ_CP024954.1:471188-471932	53.7885	26.34535765	3.271292079
CV702_RS08175	proB	NZ_CP024954.1:1718819-1719626	53.8095	26.35564335	3.271682421
CV702_RS00360	-	NZ_CP024954.1:69489-69978	53.8171	26.35936579	3.27182365
CV702_RS03715	-	NZ_CP024954.1:744018-745662	54.1162	26.50586359	3.277365976
CV702_RS06050	-	NZ_CP024954.1:1278723-1279104	54.1331	26.51414113	3.277678218
CV702_RS06305	-	NZ_CP024954.1:1334515-1336333	54.3935	26.64168384	3.282477051
CV702_RS11315	-	NZ_CP024954.1:2340179-2340377	54.6906	26.78720204	3.287924238
CV702_RS06430	-	NZ_CP024954.1:1362043-1363429	54.908	26.89368355	3.291891447
CV702_RS01985	-	NZ_CP024954.1:395479-396211	55.5567	27.2114138	3.30363651
CV702_RS03050	-	NZ_CP024954.1:607546-608602	55.5724	27.21910359	3.303919065
CV702_RS11090	lmrP	NZ_CP024954.1:2295705-2296932	55.7493	27.30574839	3.307097244
CV702_RS06425	-	NZ_CP024954.1:1361289-1362051	55.7672	27.31451572	3.307418272
CV702_RS03325	-	NZ_CP024954.1:668038-668518	55.8022	27.33165856	3.308045685
CV702_RS01140	dhaK	NZ_CP024954.1:222811-223804	55.8979	27.37853198	3.309759202
CV702_RS00515	-	NZ_CP024954.1:99728-100304	55.9509	27.40449113	3.31070691
CV702_RS01545	-	NZ_CP024954.1:301488-302037	56.1295	27.49196858	3.31389391
CV702_RS02765	-	NZ_CP024954.1:538836-539502	56.1622	27.50798489	3.314476322
CV702_RS12060	-	NZ_CP024954.1:441556-441859	56.2102	27.53149507	3.315330624
CV702_RS05505	hemW	NZ_CP024954.1:1134799-1135939	56.402	27.62543782	3.318737008
CV702_RS01485	-	NZ_CP024954.1:291418-292684	56.9191	27.878711	3.327863351
CV702_RS04520	-	NZ_CP024954.1:932757-933420	57.7069	28.26457178	3.34160914
CV702_RS04845	-	NZ_CP024954.1:997896-998838	57.8717	28.34529005	3.344460881
CV702_RS05100	-	NZ_CP024954.1:1051038-1052364	58.1496	28.48140418	3.34925139
CV702_RS06995	-	NZ_CP024954.1:1475934-1476357	58.3093	28.5596245	3.35199399
CV702_RS07965	-	NZ_CP024954.1:1683617-1684235	58.5495	28.67727335	3.35610494
CV702_RS02705	-	NZ_CP024954.1:527454-527901	58.6717	28.73712634	3.358189888
CV702_RS02665	serB	NZ_CP024954.1:520034-520685	58.694	28.74804878	3.358569896
CV702_RS06260	thiE	NZ_CP024954.1:1327345-1327993	59.3793	29.08370554	3.37017807
CV702_RS01625	-	NZ_CP024954.1:316044-318210	59.4321	29.10956673	3.371066874
CV702_RS06385	-	NZ_CP024954.1:1352449-1353196	59.4589	29.12269325	3.371517707
CV702_RS02810	recJ	NZ_CP024954.1:545118-547347	59.7631	29.271689	3.376620803
